Id,BRA,EST,PER,FOC,EXP,FRW.ANG,FRW.BBO,FRW.EMB,FRW.JQU,FRW.KNO,FRW.OTH,MOD,MOD.AMD,MOD.COM,MOD.OTH,PKG,PKG.BOW,PKG.NPM,PKG.VOL,PKG.JAM,PKG.OTH,AUT,AUT.GRN,AUT.GER,AUT.ANT,AUT.MAK,AUT.CAK,AUT.JAK,AUT.RAK,AUT.BAS,AUT.OTH,TST,TST.UNI,TST.INT,TST.PER,TST.OTH,TST.FER,TST.FER.QUN,TST.FER.KAR,TST.FER.JAS,TST.FER.SIN,TST.FER.MOC,TST.FER.OTH,VER,VER.GIT,VER.MER,VER.SVN,VER.RAT,VER.OTH,PCS,PCS.LES,PCS.SAS,PCS.STY,PCS.ROO,PCS.OTH,CSS,CSS.TBS,CSS.TCO,CSS.FOU,CSS.PUR,CSS.OTH,TMP,TMP.DUS,TMP.HAN,TMP.MUS,TMP.JAD,TMP.FRW,TMP.OTH,LNG,LNG.CHO,PRO.MHT,PRO.MCS,PRO.MJS,PRO.CCS,PRO.CJS,PRO.OIM,PRO.CDU,PRO.CDR,PRO.OTH,BRW.SUP,BRW.DES,MOB,EDT.SUB,EDT.WEB,EDT.NOT,EDT.VST,EDT.DRW,EDT.VIM,EDT.EMA,EDT.TXM,EDT.NET,EDT.ECL,EDT.BRA,EDT.OTH
190,S,MG,A,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,1,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,2,1,,1,,1,,1,,1,,,
194,S,SP,A,N,C,,,,1,,,S,,1,,S,,1,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,S,,1,1,,,,S,A,,1,,,,,1,,,2,A,2,1,,,,,,,,,,,
196,S,SP,B,,D,,,,1,,,S,1,,,S,1,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,,,,1,,S,,,,,1,,N,,1,1,1,1,,1,,,,2,A,2,1,,,,,,,,,,,
197,S,RS,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,1,,,1,,,,1,B,2,1,,,,,,,,,,,
198,S,SP,A,S,D,,1,,1,,,S,,1,,S,,1,,,,S,,,,,,,,,1,S,1,,,,S,,,1,,,,S,1,,,,,S,,1,,,,S,1,,,,,S,,,,,1,,S,A,1,1,1,1,1,,,1,,1,A,2,1,,,,,1,,,,1,,
200,S,CE,A,N,C,,,,1,,,S,1,,,S,1,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,1,1,1,,,S,1,,1,,,S,,1,,,,,N,,,1,1,1,,,,,,1,A,2,1,,,,,,,,,,,
201,S,RJ,A,N,C,,,,1,,,S,1,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,S,1,,1,,,N,,,,,,,N,,1,,,1,1,1,,,,2,A,0,1,,,,,,,,,,,
202,S,RJ,B,,D,,,,1,,,S,1,1,,S,1,1,,,,S,1,,,1,,,1,1,,S,1,1,1,,S,,1,1,,1,,S,1,,1,,,S,1,1,,,,S,1,,1,1,,S,,,,1,,,N,,1,1,1,1,1,1,,1,,2,A,2,1,,,1,,,,,,,1,
205,S,RS,B,,B,1,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,,1,,1,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,1,,,2,A,1,1,,,,,,,,,,,
206,S,DF,B,,C,1,,,1,,,N,,,,S,,,,1,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,1,1,1,,,1,,,,1,B,2,1,,,,,,,,,,,
